n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,mae_gen_0,mae_gen_1,mae_gen_2,mae_gen_3,mae_gen_4,mae_gen_5,mae_gen_6,mae_gen_7,mae_gen_8,mae_gen_9,final_mae,time
10,10,2,1,0.4,0.4,225.50500000000002,105.578,58.652,73.669,42.049,28.556000000000004,48.361000000000004,99.806,25.695999999999998,54.048,76.192,0.014396636486053467
10,30,2,1,0.4,0.4,230.99899999999997,97.109,57.878,77.849,44.786,28.175,48.116,110.449,24.843,54.02900000000001,77.42329999999998,0.013464448451995849
10,50,2,1,0.4,0.4,233.21800000000002,102.98599999999999,58.963,79.73400000000001,42.939,29.129,47.30800000000001,106.46,24.720000000000002,54.335,77.97920000000002,0.01979299306869507
10,None,2,1,0.4,0.4,229.426,101.69800000000001,54.468,80.28299999999999,45.39,28.587,48.330000000000005,120.729,27.175,53.68299999999999,78.9769,0.023265249729156494
30,10,2,1,0.4,0.4,222.62600000000003,102.982,55.39,75.42999999999998,42.156,27.238999999999997,47.605000000000004,113.40299999999999,23.845999999999997,53.193,76.387,0.033957064151763916
30,30,2,1,0.4,0.4,233.76500000000001,99.503,54.80799999999999,76.513,43.469,26.461000000000002,47.537,115.33,23.804,55.509,77.66990000000001,0.04192904233932495
30,50,2,1,0.4,0.4,224.06499999999997,101.05300000000001,56.894000000000005,74.818,41.862,27.121,47.117000000000004,114.44800000000001,23.953,52.58299999999999,76.39139999999999,0.04242110252380371
30,None,2,1,0.4,0.4,225.28500000000003,102.992,54.30899999999999,76.84500000000001,43.358999999999995,27.433999999999997,47.735,114.81200000000004,23.889999999999997,54.102,77.0763,0.04443685293197632
50,10,2,1,0.4,0.4,228.84,101.381,53.022000000000006,77.26199999999999,43.714,27.201999999999998,47.27300000000001,114.144,23.323,53.41600000000001,76.9577,0.06400994062423707
50,30,2,1,0.4,0.4,232.58,101.29299999999998,54.55999999999999,76.72999999999999,42.858999999999995,26.877999999999997,46.46,116.04099999999998,23.219,53.70700000000001,77.4327,0.06705715894699096
50,50,2,1,0.4,0.4,229.68099999999995,100.221,55.577,77.385,41.748000000000005,26.891999999999996,47.555,113.90299999999999,23.377000000000002,53.13199999999999,76.94709999999999,0.05700135946273804
50,None,2,1,0.4,0.4,231.358,100.33099999999999,53.168000000000006,75.353,41.95100000000001,26.687,46.925,110.02100000000003,23.494,52.914,76.2202,0.05498650550842285
100,10,2,1,0.4,0.4,226.862,102.527,54.982000000000006,75.92699999999999,42.35000000000001,26.762999999999998,47.2,110.603,22.870000000000005,52.67100000000001,76.2755,0.08830106735229493
100,30,2,1,0.4,0.4,227.875,100.75999999999999,54.614,74.816,42.011,26.427,46.995000000000005,114.81000000000002,22.959000000000003,53.40999999999999,76.46770000000001,0.09133697032928467
100,50,2,1,0.4,0.4,222.08,100.28299999999999,54.69200000000001,76.37999999999998,41.763999999999996,26.377000000000002,47.335,114.218,22.961999999999996,52.38100000000001,75.8472,0.09669642210006714
100,None,2,1,0.4,0.4,227.68099999999995,101.08499999999998,54.27599999999999,75.669,41.621,26.602999999999998,47.184999999999995,110.652,23.353,53.34799999999999,76.14729999999999,0.0983504867553711
10,10,4,1,0.4,0.4,234.56,105.046,57.42100000000001,83.24100000000001,47.174,29.729999999999997,48.177,113.47,26.581,56.064,80.1464,0.01446629524230957
10,30,4,1,0.4,0.4,233.41499999999996,104.70500000000001,58.210000000000015,80.37100000000001,41.317,28.849,48.989999999999995,107.46099999999998,27.447000000000003,58.051,78.8816,0.013782145977020264
10,50,4,1,0.4,0.4,244.31099999999998,101.19800000000001,59.726,79.24100000000001,44.855000000000004,30.595,48.884,117.673,27.155999999999995,58.943000000000005,81.25819999999999,0.013042290210723877
10,None,4,1,0.4,0.4,230.039,107.952,55.927,77.191,45.437,30.305,48.11,119.10999999999999,26.163999999999998,56.616,79.68509999999999,0.013206765651702881
30,10,4,1,0.4,0.4,223.07600000000002,102.33899999999998,55.045,76.932,43.529999999999994,29.244999999999997,48.345,113.21199999999999,25.221000000000004,55.35799999999999,77.2303,0.031514649391174314
30,30,4,1,0.4,0.4,233.52200000000002,99.78599999999999,55.585,75.28399999999999,43.628,29.653000000000002,47.21999999999999,113.43400000000001,25.087,55.229,77.84280000000001,0.02993154287338257
30,50,4,1,0.4,0.4,224.04500000000002,100.381,56.00899999999999,79.0,45.32899999999999,28.558,48.733999999999995,112.62100000000001,25.148,54.697,77.45220000000002,0.03211992263793945
30,None,4,1,0.4,0.4,226.923,101.17200000000003,55.644999999999996,79.684,43.666,29.179000000000002,47.539,114.28600000000002,25.310000000000002,55.149,77.8553,0.0379067850112915
50,10,4,1,0.4,0.4,233.371,101.493,54.852999999999994,78.232,43.21,28.745000000000005,49.049,116.20599999999999,24.91,53.61900000000001,78.3688,0.05234342336654663
50,30,4,1,0.4,0.4,226.21999999999997,104.749,54.061,78.15199999999999,43.903999999999996,29.27,48.090999999999994,114.117,24.468999999999998,55.185,77.82179999999998,0.05529757022857666
50,50,4,1,0.4,0.4,226.378,101.61999999999999,54.818,78.393,45.25899999999999,29.137999999999995,48.699,116.381,24.869,55.07800000000001,78.0633,0.05448297023773194
50,None,4,1,0.4,0.4,229.898,105.12299999999998,54.251,79.242,43.262,28.422000000000004,48.43,112.82899999999998,24.564,54.794999999999995,78.08159999999998,0.06309806108474732
100,10,4,1,0.4,0.4,226.419,101.301,52.647000000000006,78.93,44.15,28.963,48.949,117.03000000000002,24.363999999999997,53.813,77.6566,0.09339622497558593
100,30,4,1,0.4,0.4,226.99699999999999,101.271,56.14200000000001,78.732,43.571999999999996,28.532999999999998,48.284000000000006,116.58099999999999,24.191,55.089,77.9392,0.08703207969665527
100,50,4,1,0.4,0.4,225.28799999999995,102.064,54.742,78.12899999999999,43.076,28.439999999999998,47.831,113.936,24.080000000000002,54.186,77.1772,0.0961377763748169
100,None,4,1,0.4,0.4,226.99100000000004,101.46499999999999,55.839999999999996,78.311,43.434,28.964,48.259,115.35400000000001,24.655000000000005,54.366,77.7639,0.08955712556838989
10,10,6,1,0.4,0.4,238.413,106.28,60.214999999999996,79.296,47.096000000000004,32.875,51.375,118.228,28.483000000000004,57.89000000000001,82.01509999999999,0.012235090732574463
10,30,6,1,0.4,0.4,251.65200000000004,104.43800000000002,62.32200000000002,81.55,48.839,32.73700000000001,50.513999999999996,113.248,30.631999999999998,55.943000000000005,83.1875,0.012353518009185792
10,50,6,1,0.4,0.4,224.25199999999995,101.105,57.121,77.132,49.146,33.079,51.348,114.04099999999998,29.905999999999995,58.355,79.54849999999999,0.01251420497894287
10,None,6,1,0.4,0.4,230.05400000000003,104.6,57.376,81.53699999999999,49.372,30.528,50.333000000000006,119.12000000000003,30.146000000000004,56.926,80.9992,0.012234470844268798
30,10,6,1,0.4,0.4,232.82599999999996,105.21200000000002,55.384,79.26699999999998,45.272000000000006,30.311,50.407,115.902,28.484,56.480999999999995,79.9546,0.031737384796142576
30,30,6,1,0.4,0.4,224.401,105.60799999999999,58.499,80.07100000000001,46.877,31.075,50.64,112.27799999999999,28.768,56.065999999999995,79.42830000000001,0.02914801359176636
30,50,6,1,0.4,0.4,233.31599999999997,104.854,58.907999999999994,81.26199999999999,45.855000000000004,30.4,50.749,115.82900000000002,28.205000000000002,56.27499999999999,80.56530000000001,0.028920304775238038
30,None,6,1,0.4,0.4,230.821,107.75999999999999,56.519999999999996,78.125,45.983999999999995,30.831,50.00099999999999,116.21900000000001,28.625000000000007,55.875,80.0761,0.029905319213867188
50,10,6,1,0.4,0.4,229.823,104.90600000000002,56.605000000000004,81.60300000000001,45.538,31.262,50.089999999999996,116.48200000000001,27.742,56.045,80.0096,0.05319868803024292
50,30,6,1,0.4,0.4,234.081,107.671,56.609,79.656,47.218,30.589,50.42700000000001,121.952,28.016000000000002,55.65100000000001,81.18700000000001,0.05233829736709595
50,50,6,1,0.4,0.4,228.692,103.60300000000002,57.697,80.182,45.53,30.867,49.944,116.082,27.995000000000005,54.513,79.51050000000001,0.05077074289321899
50,None,6,1,0.4,0.4,230.14700000000002,105.08999999999999,54.20300000000001,79.814,45.906,30.435999999999996,50.049,116.947,28.312,54.85,79.57540000000002,0.052832577228546146
100,10,6,1,0.4,0.4,227.099,104.79400000000001,55.617999999999995,79.737,46.465999999999994,30.619000000000007,50.613,115.98300000000002,27.574,55.511999999999986,79.4015,0.08747201442718505
100,30,6,1,0.4,0.4,229.704,105.74000000000001,55.001999999999995,79.71399999999998,45.352,30.500999999999998,50.467000000000006,116.16100000000002,27.824,56.345000000000006,79.681,0.09089471578598023
100,50,6,1,0.4,0.4,229.169,103.204,55.715999999999994,78.529,45.917,30.519999999999992,49.900999999999996,115.85700000000001,28.020999999999997,55.150999999999996,79.1985,0.09067679166793824
100,None,6,1,0.4,0.4,232.914,105.74300000000001,56.06999999999999,79.12100000000001,44.900999999999996,30.685000000000002,49.98400000000001,111.88,27.867000000000008,55.31499999999998,79.448,0.0859793996810913
