trees,depth,min_samples_split,min_samples_leaf,variables,samples,mae_gen_0,mae_gen_1,mae_gen_2,mae_gen_3,mae_gen_4,mae_gen_5,mae_gen_6,mae_gen_7,mae_gen_8,mae_gen_9,final_mae,time
100,10,6,1,0.4,0.4,286.672,92.611,46.263,77.09,58.048,31.986,37.078,36.882,36.25,41.854,74.4734,0.0804317736625671
100,30,6,1,0.4,0.4,283.518,93.137,46.148,75.779,60.059,31.8,37.514,36.955,35.336,42.277,74.2523,0.0805959820747376
100,50,6,1,0.4,0.4,285.392,92.67,46.187,75.996,58.908,31.873,37.453,36.941,35.977,42.649,74.4046,0.0816434741020203
100,None,6,1,0.4,0.4,285.682,93.702,46.517,75.125,59.707,31.851,36.908,36.475,35.657,42.874,74.4498,0.0807691264152527
10,10,8,1,0.4,0.4,293.913,97.336,50.004,86.328,63.26,37.912,43.652,43.864,42.941,49.079,80.8289,0.0104094386100769
10,30,8,1,0.4,0.4,283.794,98.801,52.075,79.024,61.943,38.785,44.552,45.782,41.027,50.243,79.6026,0.0103465700149536
10,50,8,1,0.4,0.4,285.275,96.879,51.827,76.994,68.653,38.342,45.737,43.875,42.431,48.98,79.8993,0.0103573155403137
10,None,8,1,0.4,0.4,294.499,98.451,50.156,79.604,67.916,37.231,44.236,45.361,42.419,52.527,81.24,0.0105843377113342
30,10,8,1,0.4,0.4,285.932,96.538,49.004,79.5,61.956,35.481,40.891,40.497,39.463,45.722,77.4984,0.0255710411071777
30,30,8,1,0.4,0.4,286.47,96.208,49.818,78.663,62.594,35.637,41.169,39.985,40.534,45.544,77.6622,0.0255584120750427
30,50,8,1,0.4,0.4,285.038,99.444,49.704,79.898,61.176,35.198,41.884,40.501,40.296,45.739,77.8878,0.0257588505744934
30,None,8,1,0.4,0.4,288.168,98.269,48.967,78.128,65.094,35.132,41.05,39.4,39.568,46.771,78.0547,0.0258873963356018
50,10,8,1,0.4,0.4,286.817,96.364,49.455,80.19,61.693,35.255,41.116,39.803,39.605,44.705,77.5003,0.0412995362281799
50,30,8,1,0.4,0.4,286.786,96.067,49.402,78.878,59.302,35.578,41.048,40.095,38.99,45.239,77.1385,0.0407945084571838
50,50,8,1,0.4,0.4,289.848,95.984,50.179,76.917,61.611,35.634,40.827,39.71,39.414,45.481,77.5605,0.0411009359359741
50,None,8,1,0.4,0.4,289.178,97.177,48.916,79.338,59.292,35.95,40.938,39.507,38.842,45.954,77.5092,0.0409733700752258
100,10,8,1,0.4,0.4,285.815,96.122,48.889,78.366,61.221,34.576,41.159,38.852,39.465,44.487,76.8952,0.0791155958175659
100,30,8,1,0.4,0.4,287.777,96.161,48.989,78.262,62.123,35.298,41.228,39.184,39.104,44.85,77.2976,0.079151873588562
